shipment_id,order_id,status,shipped_at,delivered_at
1,1,Delivered,2025-07-15 13:15:32.206574,
2,2,Delivered,2025-08-06 13:15:32.206574,2025-08-08 13:15:32.206574
3,3,Shipped,2025-07-12 13:15:32.206574,2025-07-22 13:15:32.206574
4,4,Delivered,2025-07-29 13:15:32.206574,2025-08-02 13:15:32.206574
5,5,Shipped,2025-07-26 13:15:32.206574,
6,6,Delivered,2025-07-15 13:15:32.206574,2025-07-18 13:15:32.206574
7,7,Shipped,2025-07-30 13:15:32.206574,
8,8,Delivered,2025-07-31 13:15:32.206574,2025-08-03 13:15:32.206574
9,9,Delivered,2025-07-17 13:15:32.206574,2025-07-25 13:15:32.206574
10,10,Shipped,2025-08-05 13:15:32.206574,
11,11,Shipped,2025-07-15 13:15:32.206574,2025-07-24 13:15:32.206574
12,12,Shipped,2025-08-03 13:15:32.206574,
13,13,Shipped,2025-07-27 13:15:32.206574,
14,14,Delivered,2025-08-02 13:15:32.206574,
15,15,Delivered,2025-07-25 13:15:32.206574,2025-08-01 13:15:32.206574
16,16,Delivered,2025-07-20 13:15:32.206574,2025-07-24 13:15:32.206574
17,17,Delivered,2025-07-22 13:15:32.206574,
18,18,Delivered,2025-07-09 13:15:32.206574,
19,19,Delivered,2025-07-29 13:15:32.206574,
20,20,Shipped,2025-07-13 13:15:32.206574,
21,21,Shipped,2025-07-25 13:15:32.206574,
22,22,Delivered,2025-07-12 13:15:32.206574,2025-07-13 13:15:32.206574
23,23,Shipped,2025-08-06 13:15:32.206574,2025-08-13 13:15:32.206574
24,24,Delivered,2025-07-10 13:15:32.206574,2025-07-15 13:15:32.206574
25,25,Shipped,2025-07-25 13:15:32.206574,2025-07-31 13:15:32.206574
26,26,Delivered,2025-07-12 13:15:32.206574,2025-07-17 13:15:32.206574
27,27,Shipped,2025-07-31 13:15:32.206574,2025-08-02 13:15:32.206574
28,28,Delivered,2025-07-11 13:15:32.206574,2025-07-15 13:15:32.206574
29,29,Shipped,2025-07-13 13:15:32.206574,
30,30,Shipped,2025-07-08 13:15:32.206574,2025-07-14 13:15:32.206574
31,31,Shipped,2025-07-25 13:15:32.206574,
32,32,Delivered,2025-07-18 13:15:32.206574,2025-07-21 13:15:32.206574
33,33,Shipped,2025-07-09 13:15:32.206574,2025-07-14 13:15:32.206574
34,34,Delivered,2025-07-25 13:15:32.206574,
35,35,Shipped,2025-07-29 13:15:32.206574,
36,36,Delivered,2025-07-21 13:15:32.206574,
37,37,Delivered,2025-07-10 13:15:32.206574,2025-07-18 13:15:32.206574
38,38,Delivered,2025-07-14 13:15:32.206574,
