shipment_id,order_id,status,shipped_at,delivered_at
1,1,Delivered,2025-07-29 09:12:49.278157,2025-08-01 09:12:49.278157
2,2,Delivered,2025-07-30 09:12:49.278157,2025-08-05 09:12:49.278157
3,3,Delivered,2025-07-15 09:12:49.278157,2025-07-18 09:12:49.278157
4,4,Delivered,2025-07-23 09:12:49.278157,2025-07-31 09:12:49.278157
5,5,Delivered,2025-07-08 09:12:49.278157,2025-07-09 09:12:49.278157
6,6,Delivered,2025-08-01 09:12:49.278157,2025-08-03 09:12:49.278157
7,7,Delivered,2025-07-12 09:12:49.278157,2025-07-14 09:12:49.278157
8,8,Delivered,2025-08-02 09:12:49.278157,2025-08-07 09:12:49.278157
9,9,Shipped,2025-08-06 09:12:49.278157,
10,10,Delivered,2025-07-14 09:12:49.278157,2025-07-22 09:12:49.278157
11,11,Delivered,2025-07-21 09:12:49.278157,2025-07-31 09:12:49.278157
12,12,Delivered,2025-07-18 09:12:49.278157,2025-07-23 09:12:49.278157
13,13,Shipped,2025-08-07 09:12:49.278157,
14,14,Delivered,2025-08-07 09:12:49.278157,2025-08-13 09:12:49.278157
15,15,Delivered,2025-07-16 09:12:49.278157,2025-07-19 09:12:49.278157
16,16,Shipped,2025-07-09 09:12:49.278157,
17,17,Delivered,2025-07-15 09:12:49.278157,2025-07-22 09:12:49.278157
18,18,Shipped,2025-07-21 09:12:49.278157,
19,19,Delivered,2025-08-03 09:12:49.278157,2025-08-05 09:12:49.278157
20,20,Shipped,2025-07-19 09:12:49.278157,
21,21,Delivered,2025-08-02 09:12:49.278157,2025-08-09 09:12:49.278157
22,22,Delivered,2025-08-05 09:12:49.278157,2025-08-07 09:12:49.278157
23,23,Delivered,2025-07-20 09:12:49.278157,2025-07-23 09:12:49.278157
24,24,Delivered,2025-07-19 09:12:49.278157,2025-07-28 09:12:49.278157
25,25,Delivered,2025-07-25 09:12:49.278157,2025-08-04 09:12:49.278157
26,26,Delivered,2025-08-06 09:12:49.278157,2025-08-12 09:12:49.278157
27,27,Delivered,2025-07-31 09:12:49.278157,2025-08-02 09:12:49.278157
28,28,Delivered,2025-07-09 09:12:49.278157,2025-07-12 09:12:49.278157
29,29,Delivered,2025-07-27 09:12:49.278157,2025-08-05 09:12:49.278157
30,30,Delivered,2025-07-15 09:12:49.278157,2025-07-22 09:12:49.278157
31,31,Shipped,2025-07-27 09:12:49.278157,
32,32,Shipped,2025-07-22 09:12:49.278157,
33,33,Shipped,2025-07-21 09:12:49.278157,
34,34,Shipped,2025-07-23 09:12:49.278157,
35,35,Delivered,2025-08-05 09:12:49.278157,2025-08-08 09:12:49.278157
36,36,Delivered,2025-08-03 09:12:49.278157,2025-08-04 09:12:49.278157
37,37,Shipped,2025-07-10 09:12:49.278157,
38,38,Shipped,2025-07-20 09:12:49.278157,
39,39,Shipped,2025-08-04 09:12:49.278157,
40,40,Delivered,2025-07-17 09:12:49.278157,2025-07-26 09:12:49.278157
41,41,Delivered,2025-08-03 09:12:49.278157,2025-08-11 09:12:49.278157
42,42,Shipped,2025-07-14 09:12:49.278157,
43,43,Shipped,2025-07-30 09:12:49.278157,
44,44,Shipped,2025-07-26 09:12:49.278157,
45,45,Shipped,2025-07-08 09:12:49.278157,
46,46,Delivered,2025-07-09 09:12:49.278157,2025-07-18 09:12:49.278157
47,47,Shipped,2025-08-06 09:12:49.278157,
48,48,Delivered,2025-07-20 09:12:49.278157,2025-07-28 09:12:49.278157
49,49,Shipped,2025-08-05 09:12:49.278157,
50,50,Delivered,2025-07-22 09:12:49.278157,2025-07-27 09:12:49.278157
51,51,Delivered,2025-07-10 09:12:49.278157,2025-07-18 09:12:49.278157
52,52,Shipped,2025-08-04 09:12:49.278157,
53,53,Delivered,2025-07-14 09:12:49.278157,2025-07-21 09:12:49.278157
54,54,Delivered,2025-07-19 09:12:49.278157,2025-07-20 09:12:49.278157
55,55,Shipped,2025-08-02 09:12:49.278157,
56,56,Delivered,2025-07-28 09:12:49.278157,2025-08-04 09:12:49.278157
57,57,Shipped,2025-08-02 09:12:49.278157,
58,58,Shipped,2025-07-31 09:12:49.278157,
59,59,Shipped,2025-07-19 09:12:49.278157,
60,60,Shipped,2025-07-17 09:12:49.278157,
61,61,Shipped,2025-07-09 09:12:49.278157,
62,62,Delivered,2025-08-04 09:12:49.278157,2025-08-09 09:12:49.278157
63,63,Delivered,2025-07-30 09:12:49.278157,2025-08-02 09:12:49.278157
64,64,Delivered,2025-08-01 09:12:49.278157,2025-08-07 09:12:49.278157
65,65,Delivered,2025-07-19 09:12:49.278157,2025-07-23 09:12:49.278157
66,66,Shipped,2025-07-14 09:12:49.278157,
67,67,Delivered,2025-08-02 09:12:49.278157,2025-08-03 09:12:49.278157
68,68,Shipped,2025-07-11 09:12:49.278157,
69,69,Delivered,2025-08-06 09:12:49.278157,2025-08-11 09:12:49.278157
70,70,Delivered,2025-08-04 09:12:49.278157,2025-08-07 09:12:49.278157
71,71,Shipped,2025-07-18 09:12:49.278157,
72,72,Delivered,2025-07-13 09:12:49.278157,2025-07-17 09:12:49.278157
73,73,Delivered,2025-07-18 09:12:49.278157,2025-07-25 09:12:49.278157
74,74,Shipped,2025-07-09 09:12:49.278157,
75,75,Delivered,2025-07-17 09:12:49.278157,2025-07-21 09:12:49.278157
76,76,Shipped,2025-07-23 09:12:49.278157,
77,77,Shipped,2025-07-29 09:12:49.278157,
78,78,Shipped,2025-07-24 09:12:49.278157,
79,79,Shipped,2025-07-13 09:12:49.278157,
80,80,Delivered,2025-07-12 09:12:49.278157,2025-07-17 09:12:49.278157
81,81,Delivered,2025-07-20 09:12:49.278157,2025-07-24 09:12:49.278157
82,82,Delivered,2025-08-02 09:12:49.278157,2025-08-11 09:12:49.278157
83,83,Shipped,2025-07-21 09:12:49.278157,
84,84,Delivered,2025-07-14 09:12:49.278157,2025-07-20 09:12:49.278157
85,85,Delivered,2025-08-05 09:12:49.278157,2025-08-08 09:12:49.278157
86,86,Shipped,2025-07-27 09:12:49.278157,
87,87,Shipped,2025-08-07 09:12:49.278157,
88,88,Delivered,2025-08-07 09:12:49.278157,2025-08-10 09:12:49.278157
89,89,Delivered,2025-08-01 09:12:49.278157,2025-08-05 09:12:49.278157
90,90,Shipped,2025-08-07 09:12:49.278157,
91,91,Shipped,2025-07-14 09:12:49.278157,
92,92,Shipped,2025-07-16 09:12:49.278157,
93,93,Delivered,2025-07-13 09:12:49.278157,2025-07-15 09:12:49.278157
94,94,Shipped,2025-08-03 09:12:49.278157,
95,95,Delivered,2025-07-24 09:12:49.278157,2025-07-27 09:12:49.278157
96,96,Shipped,2025-07-27 09:12:49.278157,
97,97,Shipped,2025-07-10 09:12:49.278157,
98,98,Shipped,2025-07-18 09:12:49.278157,
99,99,Shipped,2025-07-25 09:12:49.278157,
100,100,Delivered,2025-08-04 09:12:49.278157,2025-08-11 09:12:49.278157
101,101,Shipped,2025-08-03 09:12:49.278157,
102,102,Shipped,2025-07-21 09:12:49.278157,
103,103,Shipped,2025-07-18 09:12:49.278157,
104,104,Delivered,2025-07-17 09:12:49.278157,2025-07-20 09:12:49.278157
105,105,Delivered,2025-07-15 09:12:49.278157,2025-07-18 09:12:49.278157
106,106,Delivered,2025-07-23 09:12:49.278157,2025-08-01 09:12:49.278157
107,107,Delivered,2025-07-29 09:12:49.278157,2025-07-30 09:12:49.278157
108,108,Delivered,2025-08-03 09:12:49.278157,2025-08-07 09:12:49.278157
109,109,Delivered,2025-07-22 09:12:49.278157,2025-07-31 09:12:49.278157
110,110,Shipped,2025-08-01 09:12:49.278157,
111,111,Delivered,2025-07-19 09:12:49.278157,2025-07-24 09:12:49.278157
112,112,Shipped,2025-07-25 09:12:49.278157,
113,113,Delivered,2025-07-26 09:12:49.278157,2025-07-27 09:12:49.278157
114,114,Shipped,2025-08-01 09:12:49.278157,
115,115,Delivered,2025-07-28 09:12:49.278157,2025-08-03 09:12:49.278157
116,116,Delivered,2025-07-13 09:12:49.278157,2025-07-15 09:12:49.278157
117,117,Shipped,2025-07-27 09:12:49.278157,
118,118,Shipped,2025-07-18 09:12:49.278157,
119,119,Delivered,2025-07-25 09:12:49.278157,2025-08-02 09:12:49.278157
120,120,Shipped,2025-07-08 09:12:49.278157,
